arg1,arg2,verb,sentence,verb_idx,label
deer,,trace, The hunters traced the deer into the woods .,2,0
circumstance,,trace, She traced the circumstances of her birth .,1,1
experience,,transform, This experience transformed her completely .,2,1
energy,,transform, It can transform energy to light .,2,0
grape,,tread, tread grapes to make wine .,0,0
bird,,tread, male birds tread the females .,2,0
camp,,trench, He trenched his military camp .,1,0
letter,,trench, letters trenched into the stone .,1,0
soldier,,trench, trench the fallen soldiers .,0,0
chain,,tug, The prisoner tugged at the chains .,2,0
living,,tug, She tugged for years to make a decent living .,1,1
freighter,,tug, The tugboat tugged the freighter into the harbor .,2,0
cart,,tug, The horse finally tugged the cart out of the mud .,3,0
shoulder,,twist, The wrestler twisted his shoulder .,2,0
cord,,twist, The cord is all twisted .,4,0
word,,twist, Do n't twist my words .,2,1
people,,uproot, The war uprooted many people .,2,1
democracy,,uproot, The vestiges of political democracy were soon uprooted .,7,1
vine,,uproot, They plan to uproot the vine that has spread all over the garden .,3,0
fortune,,vest, She vested her vast fortune in her two sons .,1,0
property,,vest, The property vests in the trustees .,2,0
paris,,visit, Did you ever visit Paris ? .,3,0
rage,,visit, The principal visited his rage on the students .,2,1
relative,,visit," Every summer , we visited our relatives in the country for a month .",4,0
illness,,visit," Every summer , we visited our relatives in the country for a month .",4,1
ball,,volley, They began to volley the tennis ball .,3,0
curse,,volley, I heard him volley a string of curses .,3,1
pig,,wallow, pigs were wallowing in the mud .,2,0
success,,wallow, wallow in your success !,0,1
yellow,,wear, She was wearing yellow that day .,2,0
smile,,wear, He always wears a smile .,2,1
hair,,wear, wear one 's hair in a certain way .,0,0
bullet,,whistle, The bullets whistled past him .,2,1
melody,,whistle, She whistled a melody .,1,0
optimism,,whistle, Her optimism whistled away these worries .,2,1
feeling,,wrestle, He wrestled all his life with his feeling of inferiority .,1,1
decision,,wrestle, I wrestled with this decision for years .,1,1
child,,wrestle, The children wrestled in the garden .,2,0
person,,bow, He bowed before the King .,1,0
person,,breathe, I can breathe better when the air is clean .,2,0
wine,,breathe, This rare Bordeaux must be allowed to breathe for at least 2 hours .,7,0
drawing,,color, The child colored the drawings .,2,0
judgement,,color, My personal feelings color my judgment in this case .,3,1
people,,communicate, He and his sons have n't communicated for years .,6,0
dictionary,,computerize, Please use a computerized disctionary .,3,0
feeling,,condense, Her feelings condensed .,2,1
person,,drain, The exercise class drains me of energy .,3,1
employee,,dump, The company dumped him after many years of service .,2,1
cup,,engrave, engraved the trophy cupt with the winner 's .,0,0
people,,erase, The Turks erased the Armenians in 1915 .,2,1
volcano,,erupt, Vesuvius erupts once in a while .,1,0
society,,ferment, Islam is fermenting Africa .,2,1
lens,,grind, grind lenses for glasses and cameras .,0,0
theatre,,jam, the theater was jampacked .,3,1
woman,,lean, She leaned over the banister .,1,0
man,,lighten," after a glass of wine , he lightened up a bit .",7,1
person,,lock, They were locked in embrace .,2,1
man,,march, He marched into the classroom and announced the exam .,1,0
feeling,,palpitate, His heart palpitated .,2,1
man,,peep, He peeped at the woman through the window .,1,0
painter,,portray," Goya wanted to portray his mistress , the Duchess of Alba .",3,0
finding,,preserve, We preserve these archeological findings .,1,0
ocean,,sail, We sailed the Atlantic .,1,0
woman,,sing, She was singing while she was cooking .,2,0
person,,stamp, stamp fruit extract the juice .,0,1
man,,swim, We had to swim for 20 minutes to reach the shore .,3,0
woman,,talk, She talks a lot of nonsense .,1,0
person,,transform, He transformed into a monster .,1,1
shot,,volley, Gun shots volleyed at the attackers .,2,0
woman,,whistle, She whistled for her maid .,1,0
